trip_purpose,companion_count,booking_window,booking_channel,flights_per_year,competitor_used,price_paid_range,price_perception,experience_vs_expectation,comfort_rating,service_rating,return_intent,next_travel_window,booking_decision_factor,loyalty_sensitive,seat_class,departure_hour,departure_day,departure_month,occupancy_pct,route,flight_id,seat_id,purchase_intent_score,offer_clicked,offer_shown,submitted_at
BUSINESS,GROUP,FEW_WEEKS,WEBSITE,6_10,NO,100_200,GREAT_DEAL,WORSE,2,2,BOOKED,3_6_MONTHS,LOYALTY,YES,ECONOMY,18,14,4,75.0,CMN-YUL,13,40G,54,0,UPGRADE,2026-06-11 21:18:57.938940
LEISURE,PAIR,FEW_WEEKS,MOBILE_APP,3_5,YES,100_200,FAIR,AS_EXPECTED,5,4,NO,1_3_MONTHS,LOYALTY,YES,ECONOMY,2,1,7,45.6,CMN-LIS,2,40J,12,0,UPGRADE,2026-06-17 23:30:57.938940
LEISURE,ALONE,FEW_WEEKS,MOBILE_APP,6_10,YES,100_200,GREAT_DEAL,AS_EXPECTED,3,5,NO,THIS_MONTH,LOYALTY,YES,ECONOMY,4,21,1,79.5,CMN-BCN,8,30B,28,0,UPGRADE,2026-06-17 16:23:57.938940
BUSINESS,ALONE,FEW_WEEKS,WEBSITE,6_10,NO,ABOVE_400,TOO_EXPENSIVE,BETTER,5,5,NO,NOT_SURE,BEST_SCHEDULE,YES,ECONOMY,0,6,11,75.6,CMN-ORY,8,22F,38,0,UPGRADE,2026-04-10 22:33:57.938940
BUSINESS,GROUP,FEW_WEEKS,AIRPORT_COUNTER,1_2,YES,UNDER_100,FAIR,AS_EXPECTED,3,4,BOOKED,1_3_MONTHS,LOWEST_PRICE,YES,ECONOMY,7,3,12,82.3,CMN-LIS,18,18H,51,0,UPGRADE,2026-04-06 08:59:57.938940
LEISURE,PAIR,MONTHS_AHEAD,AIRPORT_COUNTER,10_PLUS,YES,100_200,FAIR,WORSE,4,5,BOOKED,3_6_MONTHS,BEST_SCHEDULE,NO,ECONOMY,23,16,7,92.7,CMN-DKR,39,18F,82,1,UPGRADE,2026-04-12 05:57:57.938940
LEISURE,PAIR,MONTHS_AHEAD,AGENCY,3_5,NO,200_400,FAIR,BETTER,4,5,BOOKED,1_3_MONTHS,LOYALTY,DEPENDS,ECONOMY,5,12,4,48.9,CMN-JFK,24,10F,80,1,UPGRADE,2026-05-17 11:44:57.938940
LEISURE,ALONE,MONTHS_AHEAD,WEBSITE,1_2,YES,100_200,GREAT_DEAL,BETTER,2,5,PLANNED,NOT_SURE,LOYALTY,NO,ECONOMY,6,7,1,88.3,CMN-LOS,3,18G,73,1,UPGRADE,2026-05-02 13:11:57.938940
LEISURE,ALONE,MONTHS_AHEAD,WEBSITE,1_2,NO,UNDER_100,TOO_EXPENSIVE,BETTER,5,2,NO,THIS_MONTH,LOYALTY,DEPENDS,ECONOMY,2,16,2,89.8,CMN-DKR,47,20E,35,1,UPGRADE,2026-03-21 08:20:57.938940
BUSINESS,PAIR,MONTHS_AHEAD,AIRPORT_COUNTER,3_5,NO,UNDER_100,TOO_EXPENSIVE,WORSE,2,2,BOOKED,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,10,28,12,84.1,CMN-AMS,11,6D,49,0,UPGRADE,2026-03-17 06:26:57.938940
LEISURE,ALONE,MONTHS_AHEAD,AGENCY,1_2,NO,UNDER_100,GREAT_DEAL,BETTER,4,4,PLANNED,NOT_SURE,LOYALTY,DEPENDS,BUSINESS,4,19,8,51.5,CMN-DXB,10,38G,52,0,LOUNGE,2026-05-28 23:18:57.938940
LEISURE,PAIR,FEW_WEEKS,MOBILE_APP,3_5,YES,200_400,FAIR,AS_EXPECTED,3,3,PLANNED,THIS_MONTH,DIRECT_FLIGHT,YES,ECONOMY,0,22,4,70.3,CMN-YUL,13,32B,34,0,UPGRADE,2026-03-15 22:52:57.938940
LEISURE,PAIR,FEW_WEEKS,MOBILE_APP,3_5,NO,UNDER_100,TOO_EXPENSIVE,BETTER,4,5,NO,1_3_MONTHS,DIRECT_FLIGHT,YES,BUSINESS,8,14,3,82.1,CMN-BCN,10,30B,30,0,LOUNGE,2026-06-05 09:55:57.938940
LEISURE,PAIR,FEW_WEEKS,WEBSITE,10_PLUS,YES,ABOVE_400,GREAT_DEAL,AS_EXPECTED,5,4,BOOKED,3_6_MONTHS,LOYALTY,YES,ECONOMY,20,13,12,95.1,CMN-BRU,19,13G,61,1,UPGRADE,2026-05-24 00:57:57.938940
LEISURE,ALONE,MONTHS_AHEAD,WEBSITE,1_2,YES,UNDER_100,GREAT_DEAL,BETTER,4,3,BOOKED,THIS_MONTH,LOYALTY,YES,ECONOMY,19,23,12,66.8,CMN-YUL,7,15E,57,1,UPGRADE,2026-04-08 09:12:57.938940
BUSINESS,ALONE,LAST_MINUTE,WEBSITE,6_10,NO,200_400,TOO_EXPENSIVE,AS_EXPECTED,3,4,PLANNED,1_3_MONTHS,BEST_SCHEDULE,YES,ECONOMY,14,5,1,81.0,CMN-DKR,22,2C,45,0,UPGRADE,2026-03-08 16:24:57.938940
LEISURE,ALONE,MONTHS_AHEAD,WEBSITE,3_5,YES,100_200,FAIR,BETTER,2,4,NO,1_3_MONTHS,BEST_SCHEDULE,NO,ECONOMY,3,10,12,63.1,CMN-LOS,48,23J,55,1,UPGRADE,2026-06-27 06:59:57.938940
BUSINESS,GROUP,MONTHS_AHEAD,AGENCY,6_10,NO,UNDER_100,GREAT_DEAL,AS_EXPECTED,2,3,NO,1_3_MONTHS,BEST_SCHEDULE,YES,ECONOMY,0,8,10,85.0,CMN-DKR,24,14B,31,1,UPGRADE,2026-05-10 21:13:57.938940
BUSINESS,GROUP,MONTHS_AHEAD,MOBILE_APP,10_PLUS,NO,100_200,GREAT_DEAL,AS_EXPECTED,4,5,PLANNED,3_6_MONTHS,LOYALTY,YES,ECONOMY,18,17,12,63.5,CMN-BCN,28,30F,47,0,UPGRADE,2026-04-02 14:00:57.938940
BUSINESS,PAIR,MONTHS_AHEAD,MOBILE_APP,1_2,NO,UNDER_100,FAIR,BETTER,2,3,BOOKED,THIS_MONTH,LOWEST_PRICE,DEPENDS,ECONOMY,0,14,6,80.7,CMN-CDG,4,17C,85,1,UPGRADE,2026-05-23 01:53:57.938940
LEISURE,ALONE,LAST_MINUTE,MOBILE_APP,1_2,NO,ABOVE_400,FAIR,BETTER,3,2,PLANNED,3_6_MONTHS,BEST_SCHEDULE,NO,ECONOMY,20,13,7,66.6,CMN-BCN,17,20E,72,0,UPGRADE,2026-03-17 23:17:57.938940
LEISURE,PAIR,LAST_MINUTE,WEBSITE,1_2,YES,200_400,FAIR,AS_EXPECTED,3,5,NO,NOT_SURE,LOWEST_PRICE,YES,ECONOMY,14,23,6,72.2,CMN-JFK,30,23G,20,0,UPGRADE,2026-05-07 03:17:57.938940
LEISURE,PAIR,LAST_MINUTE,MOBILE_APP,3_5,YES,100_200,FAIR,AS_EXPECTED,4,2,NO,NOT_SURE,BEST_SCHEDULE,DEPENDS,ECONOMY,0,15,9,69.9,CMN-ORY,6,4E,35,0,UPGRADE,2026-06-16 09:06:57.938940
LEISURE,ALONE,LAST_MINUTE,MOBILE_APP,3_5,NO,UNDER_100,FAIR,AS_EXPECTED,5,3,BOOKED,1_3_MONTHS,LOYALTY,DEPENDS,ECONOMY,23,1,8,78.7,CMN-BRU,8,5A,61,1,UPGRADE,2026-03-08 14:54:57.938940
BUSINESS,ALONE,FEW_WEEKS,WEBSITE,3_5,NO,UNDER_100,GREAT_DEAL,AS_EXPECTED,3,3,NO,3_6_MONTHS,DIRECT_FLIGHT,NO,ECONOMY,19,4,7,52.9,CMN-CDG,12,10D,49,0,UPGRADE,2026-04-29 02:38:57.938940
LEISURE,GROUP,FEW_WEEKS,WEBSITE,1_2,NO,UNDER_100,FAIR,AS_EXPECTED,3,2,BOOKED,THIS_MONTH,DIRECT_FLIGHT,YES,ECONOMY,9,2,11,80.1,CMN-ABJ,3,23C,57,1,UPGRADE,2026-03-28 03:23:57.938940
FAMILY,PAIR,MONTHS_AHEAD,AGENCY,3_5,YES,ABOVE_400,FAIR,BETTER,3,4,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,ECONOMY,4,9,11,61.4,CMN-YUL,5,31G,69,1,UPGRADE,2026-03-30 01:43:57.938940
LEISURE,ALONE,MONTHS_AHEAD,WEBSITE,10_PLUS,YES,ABOVE_400,GREAT_DEAL,BETTER,3,3,BOOKED,THIS_MONTH,DIRECT_FLIGHT,NO,BUSINESS,15,11,4,98.0,CMN-AMS,7,12G,98,1,LOUNGE,2026-05-06 16:50:57.938940
BUSINESS,ALONE,MONTHS_AHEAD,WEBSITE,6_10,NO,UNDER_100,TOO_EXPENSIVE,BETTER,5,5,BOOKED,1_3_MONTHS,BEST_SCHEDULE,YES,ECONOMY,14,22,5,57.2,CMN-LHR,28,34D,71,0,UPGRADE,2026-06-16 12:05:57.938940
BUSINESS,ALONE,FEW_WEEKS,MOBILE_APP,3_5,NO,200_400,GREAT_DEAL,AS_EXPECTED,5,3,NO,NOT_SURE,LOYALTY,YES,ECONOMY,17,28,3,88.3,CMN-ABJ,28,25B,21,0,UPGRADE,2026-06-12 01:22:57.938940
BUSINESS,ALONE,LAST_MINUTE,MOBILE_APP,1_2,YES,200_400,TOO_EXPENSIVE,BETTER,4,2,NO,1_3_MONTHS,LOYALTY,YES,ECONOMY,18,8,9,95.3,CMN-TUN,20,26A,15,0,UPGRADE,2026-03-01 10:03:57.938940
BUSINESS,PAIR,FEW_WEEKS,WEBSITE,6_10,YES,100_200,FAIR,AS_EXPECTED,2,3,PLANNED,THIS_MONTH,LOYALTY,NO,ECONOMY,13,20,12,78.1,CMN-MAD,36,31C,67,1,UPGRADE,2026-06-23 15:28:57.938940
LEISURE,GROUP,FEW_WEEKS,WEBSITE,1_2,NO,100_200,GREAT_DEAL,BETTER,3,5,PLANNED,THIS_MONTH,DIRECT_FLIGHT,YES,ECONOMY,12,23,3,68.2,CMN-DKR,36,9B,35,0,UPGRADE,2026-05-12 07:01:57.938940
BUSINESS,ALONE,LAST_MINUTE,WEBSITE,3_5,YES,UNDER_100,TOO_EXPENSIVE,BETTER,3,2,BOOKED,1_3_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,1,11,6,77.5,CMN-AMS,19,9G,69,1,UPGRADE,2026-06-12 20:37:57.938940
BUSINESS,GROUP,LAST_MINUTE,MOBILE_APP,6_10,NO,100_200,FAIR,BETTER,4,4,NO,1_3_MONTHS,LOYALTY,YES,ECONOMY,17,17,2,47.9,CMN-DKR,46,40H,34,1,UPGRADE,2026-04-23 11:09:57.939939
LEISURE,ALONE,FEW_WEEKS,MOBILE_APP,6_10,YES,100_200,FAIR,AS_EXPECTED,5,2,BOOKED,THIS_MONTH,LOYALTY,YES,ECONOMY,12,10,2,48.2,CMN-YUL,32,2G,63,1,UPGRADE,2026-06-23 11:22:57.939939
BUSINESS,PAIR,MONTHS_AHEAD,WEBSITE,1_2,NO,200_400,TOO_EXPENSIVE,WORSE,4,4,NO,1_3_MONTHS,LOWEST_PRICE,YES,ECONOMY,19,14,7,87.3,CMN-ORY,7,36G,16,0,UPGRADE,2026-02-28 00:46:57.939939
LEISURE,GROUP,MONTHS_AHEAD,WEBSITE,10_PLUS,NO,100_200,GREAT_DEAL,BETTER,4,2,NO,3_6_MONTHS,LOYALTY,DEPENDS,ECONOMY,1,20,5,64.5,CMN-FCO,42,39A,49,1,UPGRADE,2026-04-16 20:28:57.939939
BUSINESS,ALONE,FEW_WEEKS,MOBILE_APP,3_5,NO,200_400,FAIR,AS_EXPECTED,3,5,BOOKED,THIS_MONTH,LOYALTY,NO,ECONOMY,17,11,2,68.8,CMN-FCO,50,18E,82,1,UPGRADE,2026-06-09 21:56:57.939939
BUSINESS,GROUP,LAST_MINUTE,WEBSITE,3_5,NO,200_400,GREAT_DEAL,AS_EXPECTED,2,4,NO,THIS_MONTH,LOYALTY,DEPENDS,ECONOMY,1,20,4,63.9,CMN-MAD,33,29B,30,0,UPGRADE,2026-05-29 12:04:57.939939
BUSINESS,GROUP,FEW_WEEKS,WEBSITE,3_5,YES,UNDER_100,FAIR,AS_EXPECTED,4,5,NO,3_6_MONTHS,DIRECT_FLIGHT,NO,ECONOMY,9,20,1,53.7,CMN-ORY,19,10A,48,1,UPGRADE,2026-03-29 01:41:57.939939
LEISURE,ALONE,FEW_WEEKS,AGENCY,1_2,NO,ABOVE_400,FAIR,AS_EXPECTED,2,3,PLANNED,NOT_SURE,LOWEST_PRICE,NO,BUSINESS,16,26,1,77.8,CMN-TUN,34,29F,62,1,LOUNGE,2026-03-12 23:23:57.939939
BUSINESS,ALONE,FEW_WEEKS,WEBSITE,1_2,NO,100_200,FAIR,WORSE,5,4,BOOKED,THIS_MONTH,LOYALTY,DEPENDS,ECONOMY,19,8,8,87.5,CMN-AMS,37,9J,52,0,UPGRADE,2026-04-04 14:19:57.939939
LEISURE,PAIR,FEW_WEEKS,WEBSITE,3_5,NO,100_200,FAIR,AS_EXPECTED,3,3,NO,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,8,25,9,83.4,CMN-LOS,48,7C,31,0,UPGRADE,2026-03-14 04:18:57.939939
BUSINESS,ALONE,LAST_MINUTE,MOBILE_APP,3_5,NO,ABOVE_400,FAIR,AS_EXPECTED,3,4,BOOKED,3_6_MONTHS,LOWEST_PRICE,NO,ECONOMY,1,3,12,94.7,CMN-ABJ,27,29G,79,1,UPGRADE,2026-06-04 22:54:57.939939
FAMILY,ALONE,LAST_MINUTE,AGENCY,3_5,NO,ABOVE_400,FAIR,AS_EXPECTED,4,2,BOOKED,NOT_SURE,LOYALTY,YES,BUSINESS,16,17,10,72.4,CMN-DKR,19,21G,61,1,LOUNGE,2026-06-06 14:08:57.939939
FAMILY,GROUP,LAST_MINUTE,WEBSITE,1_2,NO,200_400,GREAT_DEAL,BETTER,2,4,BOOKED,NOT_SURE,BEST_SCHEDULE,NO,ECONOMY,9,9,10,85.7,CMN-AMS,43,18C,90,1,UPGRADE,2026-06-07 18:05:57.939939
BUSINESS,GROUP,MONTHS_AHEAD,MOBILE_APP,1_2,NO,UNDER_100,FAIR,BETTER,5,5,PLANNED,NOT_SURE,LOYALTY,NO,ECONOMY,22,23,2,69.0,CMN-DKR,32,17B,74,0,UPGRADE,2026-05-23 20:12:57.939939
BUSINESS,ALONE,MONTHS_AHEAD,MOBILE_APP,3_5,YES,200_400,GREAT_DEAL,AS_EXPECTED,2,4,NO,THIS_MONTH,DIRECT_FLIGHT,YES,ECONOMY,22,26,9,62.1,CMN-CAI,43,3A,20,0,UPGRADE,2026-05-30 20:02:57.939939
LEISURE,PAIR,LAST_MINUTE,MOBILE_APP,1_2,YES,UNDER_100,TOO_EXPENSIVE,WORSE,3,2,PLANNED,NOT_SURE,BEST_SCHEDULE,DEPENDS,ECONOMY,1,14,12,59.2,CMN-YUL,41,38D,44,0,UPGRADE,2026-04-28 00:55:57.939939
BUSINESS,PAIR,LAST_MINUTE,AGENCY,3_5,NO,ABOVE_400,FAIR,AS_EXPECTED,4,2,BOOKED,3_6_MONTHS,DIRECT_FLIGHT,NO,ECONOMY,10,8,11,67.9,CMN-LHR,30,21B,77,1,UPGRADE,2026-03-08 02:31:57.939939
FAMILY,GROUP,FEW_WEEKS,MOBILE_APP,1_2,YES,100_200,TOO_EXPENSIVE,AS_EXPECTED,2,4,BOOKED,3_6_MONTHS,DIRECT_FLIGHT,YES,BUSINESS,14,14,7,59.1,CMN-ORY,18,32D,54,1,LOUNGE,2026-03-16 17:28:57.939939
BUSINESS,GROUP,LAST_MINUTE,MOBILE_APP,6_10,YES,200_400,GREAT_DEAL,AS_EXPECTED,2,5,BOOKED,3_6_MONTHS,LOYALTY,NO,ECONOMY,17,3,11,47.7,CMN-BRU,24,35D,95,1,UPGRADE,2026-03-29 11:12:57.939939
BUSINESS,PAIR,FEW_WEEKS,WEBSITE,3_5,YES,UNDER_100,GREAT_DEAL,BETTER,2,5,NO,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,0,8,11,86.7,CMN-AMS,3,18B,29,0,UPGRADE,2026-05-10 20:39:57.939939
LEISURE,PAIR,LAST_MINUTE,WEBSITE,3_5,NO,ABOVE_400,GREAT_DEAL,AS_EXPECTED,3,2,PLANNED,NOT_SURE,BEST_SCHEDULE,NO,ECONOMY,9,26,6,68.0,CMN-CDG,20,18H,66,0,UPGRADE,2026-04-29 06:10:57.939939
BUSINESS,PAIR,MONTHS_AHEAD,WEBSITE,1_2,NO,100_200,FAIR,WORSE,5,4,NO,THIS_MONTH,DIRECT_FLIGHT,YES,ECONOMY,0,13,4,69.1,CMN-LOS,37,7E,9,0,UPGRADE,2026-03-16 21:31:57.939939
BUSINESS,ALONE,LAST_MINUTE,AGENCY,3_5,YES,100_200,FAIR,AS_EXPECTED,3,2,NO,3_6_MONTHS,DIRECT_FLIGHT,YES,FIRST,10,27,3,47.0,CMN-DKR,1,18D,20,0,LOUNGE,2026-05-18 20:46:57.939939
LEISURE,PAIR,MONTHS_AHEAD,MOBILE_APP,6_10,NO,UNDER_100,FAIR,BETTER,3,2,BOOKED,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,3,2,7,71.7,CMN-TUN,32,9J,61,1,UPGRADE,2026-06-27 08:54:57.939939
FAMILY,GROUP,MONTHS_AHEAD,WEBSITE,1_2,NO,100_200,GREAT_DEAL,AS_EXPECTED,3,4,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,ECONOMY,10,24,12,98.8,CMN-LIS,11,34H,52,1,UPGRADE,2026-06-20 18:50:57.939939
BUSINESS,GROUP,LAST_MINUTE,MOBILE_APP,1_2,YES,ABOVE_400,FAIR,BETTER,3,4,PLANNED,1_3_MONTHS,LOYALTY,YES,ECONOMY,13,19,12,61.5,CMN-YUL,17,36J,45,0,UPGRADE,2026-06-03 16:23:57.939939
BUSINESS,ALONE,FEW_WEEKS,WEBSITE,3_5,YES,ABOVE_400,FAIR,AS_EXPECTED,4,5,BOOKED,THIS_MONTH,BEST_SCHEDULE,NO,ECONOMY,2,26,10,52.9,CMN-LHR,31,1F,92,1,UPGRADE,2026-03-17 04:01:57.939939
LEISURE,PAIR,MONTHS_AHEAD,MOBILE_APP,1_2,NO,ABOVE_400,FAIR,AS_EXPECTED,4,2,NO,1_3_MONTHS,BEST_SCHEDULE,NO,ECONOMY,8,23,3,90.4,CMN-CAI,29,32E,46,0,UPGRADE,2026-04-18 04:10:57.939939
BUSINESS,PAIR,FEW_WEEKS,MOBILE_APP,1_2,NO,100_200,FAIR,BETTER,2,3,PLANNED,1_3_MONTHS,LOWEST_PRICE,DEPENDS,ECONOMY,10,4,6,94.5,CMN-TUN,1,39E,61,1,UPGRADE,2026-06-22 19:17:57.939939
BUSINESS,ALONE,MONTHS_AHEAD,AGENCY,6_10,NO,ABOVE_400,FAIR,AS_EXPECTED,2,2,PLANNED,1_3_MONTHS,BEST_SCHEDULE,NO,ECONOMY,4,3,7,90.0,CMN-BCN,4,29A,71,1,UPGRADE,2026-03-11 00:27:57.939939
FAMILY,GROUP,MONTHS_AHEAD,MOBILE_APP,1_2,NO,200_400,TOO_EXPENSIVE,BETTER,4,2,NO,NOT_SURE,DIRECT_FLIGHT,NO,ECONOMY,21,2,2,55.4,CMN-TUN,10,18B,51,0,UPGRADE,2026-04-01 01:46:57.939939
LEISURE,ALONE,FEW_WEEKS,WEBSITE,1_2,YES,UNDER_100,FAIR,AS_EXPECTED,2,2,BOOKED,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,20,1,3,87.6,CMN-BRU,41,24H,51,1,UPGRADE,2026-03-28 10:36:57.939939
LEISURE,ALONE,MONTHS_AHEAD,MOBILE_APP,1_2,YES,200_400,GREAT_DEAL,BETTER,4,5,BOOKED,1_3_MONTHS,LOYALTY,NO,ECONOMY,5,10,5,82.7,CMN-FCO,6,32F,81,1,UPGRADE,2026-05-01 21:29:57.939939
BUSINESS,GROUP,FEW_WEEKS,WEBSITE,3_5,NO,ABOVE_400,FAIR,AS_EXPECTED,4,3,PLANNED,3_6_MONTHS,LOWEST_PRICE,DEPENDS,ECONOMY,6,9,4,70.3,CMN-ORY,8,34C,50,0,UPGRADE,2026-04-29 23:00:57.939939
LEISURE,GROUP,MONTHS_AHEAD,AGENCY,1_2,YES,200_400,TOO_EXPENSIVE,BETTER,5,5,PLANNED,THIS_MONTH,BEST_SCHEDULE,NO,ECONOMY,9,6,8,74.5,CMN-CDG,29,40H,64,0,UPGRADE,2026-04-29 10:43:57.939939
BUSINESS,PAIR,FEW_WEEKS,MOBILE_APP,1_2,NO,100_200,FAIR,WORSE,2,5,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,ECONOMY,5,17,3,94.8,CMN-TUN,13,37C,33,1,UPGRADE,2026-05-17 17:11:57.939939
BUSINESS,ALONE,FEW_WEEKS,MOBILE_APP,1_2,YES,100_200,GREAT_DEAL,BETTER,4,2,BOOKED,1_3_MONTHS,DIRECT_FLIGHT,YES,FIRST,7,5,11,75.0,CMN-JFK,1,31C,57,0,LOUNGE,2026-03-31 11:46:57.939939
LEISURE,PAIR,MONTHS_AHEAD,WEBSITE,10_PLUS,NO,200_400,FAIR,BETTER,4,4,NO,NOT_SURE,DIRECT_FLIGHT,DEPENDS,BUSINESS,11,16,11,85.0,CMN-CDG,15,39C,57,0,LOUNGE,2026-05-12 06:40:57.939939
LEISURE,GROUP,MONTHS_AHEAD,MOBILE_APP,10_PLUS,NO,100_200,FAIR,BETTER,4,5,BOOKED,NOT_SURE,BEST_SCHEDULE,DEPENDS,ECONOMY,9,10,7,81.5,CMN-LOS,3,17G,89,1,UPGRADE,2026-06-15 03:09:57.940939
BUSINESS,GROUP,LAST_MINUTE,MOBILE_APP,3_5,NO,100_200,FAIR,AS_EXPECTED,5,5,BOOKED,NOT_SURE,DIRECT_FLIGHT,NO,BUSINESS,9,14,5,85.1,CMN-BCN,39,29J,85,1,LOUNGE,2026-04-29 07:35:57.940939
FAMILY,ALONE,LAST_MINUTE,AIRPORT_COUNTER,3_5,NO,UNDER_100,GREAT_DEAL,BETTER,4,3,PLANNED,NOT_SURE,DIRECT_FLIGHT,YES,BUSINESS,9,2,2,91.9,CMN-ABJ,24,4F,50,1,LOUNGE,2026-03-16 18:13:57.940939
BUSINESS,PAIR,FEW_WEEKS,WEBSITE,1_2,NO,UNDER_100,FAIR,BETTER,5,3,BOOKED,THIS_MONTH,BEST_SCHEDULE,DEPENDS,ECONOMY,20,16,7,93.2,CMN-JFK,30,40D,77,0,UPGRADE,2026-03-05 01:09:57.940939
BUSINESS,PAIR,FEW_WEEKS,WEBSITE,3_5,NO,UNDER_100,FAIR,WORSE,2,4,NO,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,ECONOMY,5,24,5,84.0,CMN-MAD,28,8D,7,0,UPGRADE,2026-04-20 10:42:57.940939
BUSINESS,GROUP,FEW_WEEKS,WEBSITE,10_PLUS,YES,100_200,GREAT_DEAL,AS_EXPECTED,5,3,PLANNED,3_6_MONTHS,LOWEST_PRICE,DEPENDS,ECONOMY,0,26,7,80.5,CMN-FCO,18,30F,55,1,UPGRADE,2026-05-31 18:24:57.940939
BUSINESS,GROUP,FEW_WEEKS,MOBILE_APP,3_5,NO,ABOVE_400,FAIR,BETTER,5,5,NO,THIS_MONTH,LOYALTY,YES,ECONOMY,11,27,8,53.2,CMN-LOS,14,35C,28,1,UPGRADE,2026-03-10 23:31:57.940939
LEISURE,GROUP,FEW_WEEKS,WEBSITE,6_10,NO,200_400,GREAT_DEAL,BETTER,5,2,BOOKED,1_3_MONTHS,LOYALTY,DEPENDS,FIRST,13,25,1,85.6,CMN-IST,36,32D,79,1,LOUNGE,2026-04-21 14:32:57.940939
FAMILY,ALONE,LAST_MINUTE,WEBSITE,1_2,YES,200_400,GREAT_DEAL,BETTER,5,5,PLANNED,1_3_MONTHS,DIRECT_FLIGHT,NO,ECONOMY,8,11,6,79.0,CMN-DXB,33,35J,62,1,UPGRADE,2026-04-30 09:15:57.940939
BUSINESS,ALONE,FEW_WEEKS,WEBSITE,3_5,YES,ABOVE_400,FAIR,AS_EXPECTED,2,5,PLANNED,NOT_SURE,DIRECT_FLIGHT,DEPENDS,BUSINESS,20,1,10,57.1,CMN-TUN,6,39G,58,0,LOUNGE,2026-05-17 22:13:57.940939
LEISURE,PAIR,MONTHS_AHEAD,WEBSITE,1_2,NO,ABOVE_400,FAIR,WORSE,3,5,PLANNED,1_3_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,22,7,6,52.2,CMN-MAD,2,14H,30,0,UPGRADE,2026-05-29 12:59:57.940939
LEISURE,ALONE,MONTHS_AHEAD,AGENCY,6_10,NO,100_200,FAIR,WORSE,2,2,PLANNED,NOT_SURE,DIRECT_FLIGHT,NO,FIRST,2,26,7,96.7,CMN-CAI,8,39J,62,0,LOUNGE,2026-05-03 02:37:57.940939
BUSINESS,PAIR,MONTHS_AHEAD,MOBILE_APP,1_2,NO,ABOVE_400,FAIR,BETTER,3,4,NO,THIS_MONTH,BEST_SCHEDULE,YES,BUSINESS,21,11,3,94.3,CMN-LOS,14,17B,21,0,LOUNGE,2026-03-30 02:15:57.940939
LEISURE,PAIR,FEW_WEEKS,MOBILE_APP,1_2,NO,200_400,FAIR,AS_EXPECTED,3,3,PLANNED,THIS_MONTH,BEST_SCHEDULE,NO,BUSINESS,18,12,12,60.7,CMN-LHR,37,20H,67,0,LOUNGE,2026-04-03 08:58:57.940939
LEISURE,ALONE,LAST_MINUTE,MOBILE_APP,6_10,YES,100_200,GREAT_DEAL,BETTER,4,3,PLANNED,3_6_MONTHS,LOYALTY,DEPENDS,ECONOMY,23,28,9,66.9,CMN-LHR,23,10J,65,0,UPGRADE,2026-04-26 20:54:57.940939
LEISURE,ALONE,FEW_WEEKS,AGENCY,1_2,NO,200_400,GREAT_DEAL,BETTER,3,4,PLANNED,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,14,19,11,93.9,CMN-TUN,15,13F,49,0,UPGRADE,2026-05-07 21:39:57.940939
BUSINESS,ALONE,FEW_WEEKS,MOBILE_APP,3_5,NO,UNDER_100,TOO_EXPENSIVE,BETTER,3,3,BOOKED,1_3_MONTHS,BEST_SCHEDULE,YES,ECONOMY,22,15,3,47.2,CMN-FCO,36,18B,65,0,UPGRADE,2026-03-05 14:30:57.940939
BUSINESS,ALONE,LAST_MINUTE,MOBILE_APP,3_5,NO,UNDER_100,FAIR,AS_EXPECTED,3,5,BOOKED,THIS_MONTH,DIRECT_FLIGHT,YES,ECONOMY,17,19,4,77.3,CMN-IST,37,1G,47,0,UPGRADE,2026-06-14 03:55:57.940939
BUSINESS,GROUP,MONTHS_AHEAD,MOBILE_APP,10_PLUS,YES,ABOVE_400,FAIR,AS_EXPECTED,3,4,PLANNED,3_6_MONTHS,LOYALTY,YES,BUSINESS,17,8,6,59.9,CMN-CAI,33,20H,56,1,LOUNGE,2026-06-28 08:08:57.940939
LEISURE,PAIR,LAST_MINUTE,WEBSITE,6_10,NO,UNDER_100,TOO_EXPENSIVE,AS_EXPECTED,3,3,NO,1_3_MONTHS,BEST_SCHEDULE,YES,BUSINESS,9,11,9,70.5,CMN-IST,40,14C,30,0,LOUNGE,2026-06-04 05:30:57.940939
FAMILY,GROUP,MONTHS_AHEAD,WEBSITE,10_PLUS,NO,ABOVE_400,FAIR,BETTER,4,5,NO,3_6_MONTHS,LOYALTY,YES,BUSINESS,10,24,6,89.8,CMN-DXB,29,20G,32,1,LOUNGE,2026-02-28 05:14:57.940939
